"","X.Intercept.","Fished.Protected.dummy","Fished.Unfished.dummy","complexity","fish.biom","hard.coral","macroalgae","rubble","site.size","substrate","df","logLik","AICc","delta","weight"
"45",-0.44025358597429,0,0,0.0862508990844437,-0.0512899994603563,0,-0.0314345232948306,0,0,0,7,-42.5569378294504,100.017101465353,5.5621989818134,0.00135274808899629
"231",-0.94186816206933,0,0.931353351016757,0.0769162514299934,0,0,-0.0215650179302817,0.0310456359954927,0.0833497628297079,0,9,-40.2747601677698,100.024930171605,5.57002768806613,0.00134746330528761
"27",-0.994963285215876,0,1.08198716592302,0,-0.0654420792058927,-0.0248354138638403,0,0,0,0,7,-42.5690753546082,100.041376515668,5.58647403212896,0.00133642831621159
"78",-0.449150699037387,0.167253763744165,0,0.0941749415377155,-0.0540916389248849,0,0,0.0147987734340208,0,0,8,-41.4371361446914,100.0450039967,5.59010151316083,0.00133400657889327
"51",-0.93470349368122,0,0.9736542900774,0,0,-0.0349165741147787,-0.0375178719593477,0,0,0,7,-42.5726295622655,100.048484930983,5.59358244744357,0.00133168680360826
"18",-0.456018695252337,0.149268398415127,0,0,0,-0.00679226611968748,0,0,0,0,6,-43.6951131032761,100.062226206552,5.607323723013,0.00132256862565608
"102",-0.456268023645948,0.165380283830834,0,0.0894776961124254,0,0,-0.0298250482241989,0.0145538204540779,0,0,8,-41.4516703069626,100.074072321242,5.6191698377031,0.00131475812968568
"83",-0.940724132916632,0,0.997245511982591,0,0,-0.0293963053152824,0,0.0345963425263542,0,0,7,-42.5932283696129,100.089682545677,5.63478006213822,0.00130453623834193
"422",-0.450237326534638,0.158467511884233,0,0.0792887201676324,0,0,-0.0262307357408071,0,0.0772512379337617,0.0472278866274794,9,-40.3123263648331,100.100062565732,5.64516008219266,0.00129778322145513
"28",-1.0286156011543,0.161074709601634,1.11490105274617,0,-0.0708767160262601,-0.0155940984627362,0,0,0,0,8,-41.4691544185392,100.109040544395,5.65413806085628,0.00129197054270641
"101",-0.439126655711866,0,0,0.0833018105376063,0,0,-0.0284380189641403,0.0247554430293428,0,0,7,-42.6082110977171,100.119648001886,5.66474551834662,0.00128513642058616
"100",-0.988537733847745,0.155417463967104,1.01649291958037,0,0,0,-0.031814107770362,0.0233486253644941,0,0,8,-41.4796782404649,100.130088188247,5.67518570470783,0.00127844536787414
"290",-0.438707644940325,0.157671780946461,0,0,0,0,-0.0358145207444962,0,0,0.0583919157735066,7,-42.6141549396386,100.131535685729,5.67663320218979,0.00127752042940063
"468",-0.858396760775266,0.125651585776025,0.939621223576154,0,0,-0.0101864015605892,0,0.107938048555528,0.0659823047987082,0.118043583445795,10,-39.163865348647,100.145912515476,5.69101003193664,0.00126837001045133
"206",-0.463167489521446,0.137730773701897,0,0.082206867942761,-0.088226885273554,0,0,0.0183052797760543,0.119010884479401,0,9,-40.3406136474854,100.156637131036,5.70173464749733,0.00126158682309892
"406",-0.426746797497849,0.153511397797867,0,0.0873239784050794,0,-0.0345498295412997,0,0,0.0817654685636999,0.0431695631627986,9,-40.3407041495906,100.156818135247,5.70191565170768,0.00126147265200201
"77",-0.43252830658974,0,0,0.0873375620587665,-0.0469350408964131,0,0,0.0254427405472532,0,0,7,-42.6270857089365,100.157397224325,5.70249474078554,0.00126110745235794
"348",-0.934393299704781,0.146037651680422,1.12227652120776,0,-0.067933898236846,-0.00792325316984148,0,0.107409501355604,0,0.124984864504269,10,-39.1709786874677,100.160139193117,5.70523670957803,0.00125937967836499
"172",-1.00400172588409,0.138841342991358,1.02204582540974,0,-0.102869696088328,0,-0.0300080247028939,0,0.110782750259012,0,9,-40.355906660033,100.187223156132,5.73232067259249,0.00124244013838958
"223",-0.955120210701365,0,1.06401280945092,0.0914949892419057,-0.103825048287152,-0.0631815978798164,0,0.0353712214114953,0.107836689906879,0,10,-39.1870501371597,100.192282092501,5.73737960896204,0.00123930139693488
"415",-0.935857519775924,0,1.03289943949198,0.0877261428815642,-0.107177577127376,-0.0484942366234437,0,0,0.0995107864837882,0.0338037184906727,10,-39.18994445004,100.198070718262,5.74316823472262,0.00123571965677788
"416",-0.972412717051201,0.167083529843693,1.08884297596693,0.0953460784586244,-0.10645325559881,-0.0412483140756293,0,0,0.0733071693080128,0.0410316394842498,11,-37.9990550189853,100.198110037971,5.74320755443141,0.00123569536294816
"491",-0.905762710458014,0,1.02449899155633,0,-0.0942038437903555,0,-0.02039054407196,0.107182313765695,0.104758505984914,0.11482232696239,10,-39.1986042470927,100.215390312367,5.76048782882815,0.00122506477647249
"52",-0.964865175885181,0.157791603630015,0.998368352721108,0,0,-0.0262251784967696,-0.0373292668781941,0,0,0,8,-41.5261232612278,100.222978229773,5.76807574623359,0.00122042573702901
"394",-0.447832657226177,0.130637803083678,0,0,-0.0835167379399051,0,0,0,0.128062767828122,0.0482456315532704,8,-41.5288908625831,100.228513432483,5.77361094894415,0.00121705275479327
"153",-0.451996091438565,0,0,0,-0.0843762921861673,-0.0151454825189888,0,0,0.155861031305205,0,7,-42.6721292980732,100.247484402598,5.79258191905889,0.00120556299817954
"432",-1.00784358126136,0.172299962951491,1.09431664971951,0.0858970475591037,-0.106962212536302,0,-0.0260720195420654,0,0.0713306075204119,0.045959176031121,11,-38.0246693804134,100.249338760827,5.79443627728777,0.00120444574337419
"111",-1.04842583899876,0,1.16435892248427,0.0882082242585641,-0.0777176797641925,0,-0.0263734316304216,0.0258308527505361,0,0,9,-40.3886308712183,100.252671578502,5.79776909496312,0.00120244031573818
"191",-0.952883276844128,0,1.05002594429292,0.0918998225152872,-0.107581075897949,-0.0653292638807791,-0.0322320351822341,0,0.102276373390456,0,10,-39.2204561370244,100.259094092231,5.80419160869145,0.00119858516427422
"403",-0.857470294557568,0,0.827327895933862,0,0,-0.0153760091662842,0,0,0.0948926565656047,0.0439483070878358,8,-41.5567953824652,100.284322472248,5.82941998870842,0.00118356094168783
"204",-0.992636449366821,0.129461001635768,1.01959738958294,0,-0.099559027464898,0,0,0.0258761745603342,0.11654555678598,0,9,-40.4049058057805,100.285221447627,5.83031896408748,0.00118302906515966
"470",-0.376147576278811,0.131812366118517,0,0.0772755751655326,0,-0.0363019723560655,0,0.0921075052873593,0.0750776181175477,0.102346760798103,10,-39.2338062156597,100.285794249501,5.83089176596202,0.00118269029304123
"229",-0.456400780448423,0,0,0.0725547557788001,0,0,-0.0222849650457581,0.0284552767736557,0.111843528866348,0,8,-41.5636639361286,100.298059579574,5.84315709603509,0.00117545944448054
"401",-0.439061263807774,0,0,0,0,-0.00920459207436524,0,0,0.121499772935339,0.0443036599259714,7,-42.7049860981483,100.313198002748,5.85829551920908,0.00116659573121291
"265",-0.415868433218273,0,0,0,-0.0374719141541072,0,0,0,0,0.0565523717384031,6,-43.8314152218615,100.334830443723,5.87992796018389,0.00115404556957619
"495",-0.929552707899217,0,1.06752715764524,0.0676183189352449,-0.0980015965935483,0,-0.018632317562175,0.0949241250740259,0.0888286992366433,0.102104023259373,11,-38.0705050676893,100.341010135379,5.8861076518395,0.0011504852499399
"475",-0.883521415700731,0,1.01699870029879,0,-0.093598162769347,-0.0171497764837725,0,0.10984927948079,0.108073129623499,0.114228840859814,10,-39.2634002228696,100.344982263921,5.89007978038198,0.00114820257980552
"232",-0.968626124977537,0.156686036313808,0.970082043874343,0.0843676680854339,0,0,-0.0238633228977463,0.0198691633593457,0.0597872743413961,0,10,-39.2636057500839,100.34539331835,5.89049083481048,0.00114796661717711
"482",-0.397148335868775,0.117199490342136,0,0,0,0,-0.0224954752618361,0.102060876261692,0.0916455061552184,0.115162963682249,9,-40.4402894939718,100.355988824009,5.90108634047013,0.00114190105489371
"486",-0.402534401711394,0.137684618405158,0,0.0695201860965586,0,0,-0.0206097985277132,0.0887272602756085,0.0721835794592584,0.104382129445487,10,-39.2772326070385,100.372647032259,5.9177445487197,0.00113242954147436
"320",-0.994275347534424,0.186223596806214,1.16464745260127,0.102483368648359,-0.0898307330301065,-0.0525337077322246,-0.0355065021135783,0,0,0.0459491968427645,11,-38.0989253693208,100.397850738642,5.94294825510256,0.00111824837281737
"300",-1.00152407729522,0.169362596487811,1.0986507602781,0,-0.075785795975544,0,-0.0341844486623812,0,0,0.0566868520782449,9,-40.4699145312457,100.415238898557,5.96033641501782,0.00110856837237399
"431",-0.973063272318206,0,1.0312163462573,0.076718878084623,-0.107692562468096,0,-0.0245775069904782,0,0.0993997179870962,0.0396014893552039,10,-39.3015936319098,100.421369082001,5.96646659846226,0.00110517571069803
"266",-0.428376139538887,0.158538276174535,0,0,-0.0427275402603364,0,0,0,0,0.0596430683830437,7,-42.7665629817293,100.43635176991,5.98144928637102,0.00109692739338494
"227",-0.903486553406014,0,0.858514223395994,0,0,0,-0.0252451774765377,0.0334154157980115,0.105376873370946,0,8,-41.6368343263832,100.444400360084,5.98949787654439,0.00109252190430487
"420",-0.90540734603342,0.148768014463813,0.883713180279137,0,0,0,-0.0294862244609135,0,0.0705310590363575,0.0495518259259451,9,-40.4966058485472,100.46862153316,6.0137190496209,0.0010793706188652
"84",-0.977022851091401,0.152414677653717,1.02415544629285,0,0,-0.019297853349435,0,0.0275647710717972,0,0,8,-41.6549639170955,100.480659541508,6.02575705796902,0.00107289339537745
"225",-0.459842635739644,0,0,0,0,0,-0.0258141794710738,0.0311862187068823,0.131133241198803,0,7,-42.7888298735761,100.480885553604,6.02598307006463,0.00107277215878548
"192",-0.992092150726428,0.157181458816355,1.1022214430365,0.0987159337822414,-0.105827413489759,-0.0607550202519605,-0.0328465030930213,0,0.0794121277294895,0,11,-38.1430375733109,100.486075146622,6.0311726630827,0.00106999214168202
"372",-0.888167526705089,0.14269325910952,1.02224807783906,0,0,-0.0156933617633764,-0.0266214110714091,0.106907491058585,0,0.122881572331742,10,-39.3371180287652,100.492417875712,6.03751539217319,0.00106660418160798
"373",-0.337323857851496,0,0,0.0800688368110127,0,-0.0516014057967914,-0.0292611763793919,0.103119599040531,0,0.111922434324729,9,-40.5138851831802,100.503180202426,6.04827771888677,0.00106088002539237
"273",-0.417715321809306,0,0,0,0,-0.0055445172256429,0,0,0,0.0556304109099817,6,-43.9240632887514,100.520126577503,6.06522409396371,0.00105192896553912
"182",-0.43598581936374,0.143685589298438,0,0.0908604316685914,0,-0.05380783875107,-0.0327749237050671,0,0.0882864444140967,0,9,-40.5242521284162,100.523914092898,6.0690116093588,0.00104993875204921
"211",-0.878783203967743,0,0.856073706475419,0,0,-0.0288133579086771,0,0.0372850478209711,0.108748675817077,0,8,-41.6794416073547,100.529614922026,6.07471243848728,0.00104695025259343
"156",-0.98010154747458,0.134832727467835,1.00545188278188,0,-0.101596397763099,-0.0149678683551786,0,0,0.114826628081652,0,9,-40.532022368192,100.53945457245,6.08455208891043,0.00104181209014001
"302",-0.431376786020748,0.182204375136473,0,0.0898808859144173,-0.0602349370083116,0,-0.0318606429613659,0,0,0.0548918220636069,9,-40.5322080305344,100.539825897134,6.08492341359523,0.00104161868282179
"466",-0.390258088980756,0.114224218400142,0,0,0,-0.00632831324365374,0,0.105061507451569,0.0950740130920773,0.116317211989737,9,-40.5515290798816,100.578467995829,6.1235655122897,0.00102168669040661
"349",-0.334997144684252,0,0,0.0817290245571739,-0.0450956757648856,-0.04400097817778,0,0.104765633622764,0,0.113894900562589,9,-40.5614687313713,100.598347298808,6.14344481526902,0.00101158178359251
"299",-0.975656213929182,0,1.06528412116905,0,-0.0700236563433616,0,-0.0334219500377192,0,0,0.054165430960244,8,-41.7139946257985,100.598720958914,6.14381847537494,0.00101139280736807
"480",-0.926063867794159,0.143348465250318,1.11443479486169,0.0845501754745073,-0.0977943103539447,-0.0416609639539774,0,0.0890685082902439,0.067800714600589,0.0990724934654612,12,-36.9904771922314,100.602803123959,6.14790064041941,0.00100933057649348
"209",-0.442719320972403,0,0,0,0,-0.0224049785757514,0,0.0346659475775468,0.135802633044779,0,7,-42.8753926850442,100.65401117654,6.19910869300082,0.000983815685720362
"310",-0.41066376595568,0.174593532210947,0,0.095544373701583,0,-0.0440946640638176,-0.0363240335054166,0,0,0.0498594114552244,9,-40.5991009384832,100.673611713032,6.2187092294929,0.000974221119549324
"274",-0.4368262970699,0.157421077082483,0,0,0,0.00345203912116823,0,0,0,0.0592869224426713,7,-42.8919779765472,100.687181759546,6.23227927600684,0.000967633380848939
"179",-0.877184173456448,0,0.839328297158789,0,0,-0.0324463399144213,-0.0323900423233645,0,0.101915989089348,0,8,-41.7705981049842,100.711927917286,6.25702543374645,0.000955734541153756
