"","Region","Reef","Genus","Species","Phase","TL","Bites","min","sec","time","Bite.rate","dataset","sp","UVC"
"181","KAUST",NA,"Scarus","psittacus","",15,90,3,6,"03:06",29.03,"redsea","Scarus psittacus","TRUE"
"182","KAUST",NA,"Scarus","psittacus","",21,77,3,25,"03:25",22.54,"redsea","Scarus psittacus","TRUE"
"183","KAUST",NA,"Scarus","psittacus","",20,69,3,2,"03:02",22.75,"redsea","Scarus psittacus","TRUE"
"184","KAUST",NA,"Scarus","psittacus","",17,65,3,0,"03:00",21.67,"redsea","Scarus psittacus","TRUE"
"185","KAUST",NA,"Scarus","psittacus","",16,54,3,4,"03:04",17.61,"redsea","Scarus psittacus","TRUE"
"186","KAUST",NA,"Scarus","psittacus","",16,83,3,0,"03:00",27.67,"redsea","Scarus psittacus","TRUE"
"187","KAUST",NA,"Scarus","psittacus","",19,117,4,13,"04:13",27.75,"redsea","Scarus psittacus","TRUE"
"188","KAUST",NA,"Scarus","psittacus","",20,72,3,1,"03:01",23.87,"redsea","Scarus psittacus","TRUE"
"189","KAUST",NA,"Scarus","psittacus","",22,81,3,5,"03:05",26.27,"redsea","Scarus psittacus","TRUE"
"190","KAUST",NA,"Scarus","psittacus","",14,90,3,8,"03:08",28.72,"redsea","Scarus psittacus","TRUE"
"191","KAUST",NA,"Scarus","psittacus","",18,97,3,6,"03:06",31.29,"redsea","Scarus psittacus","TRUE"
"192","KAUST",NA,"Scarus","psittacus","",15,116,3,0,"03:00",38.67,"redsea","Scarus psittacus","TRUE"
"193","KAUST",NA,"Scarus","psittacus","",20,68,3,2,"03:02",22.42,"redsea","Scarus psittacus","TRUE"
"194","Aceh","P Weh","Chlorurus","capistratoides","TP",22,34,3,2,"00:03:02",11.20879121,"indonesia","Chlorurus capistratoides","TRUE"
"195","Aceh","P Weh","Chlorurus","capistratoides","IP",22,59,3,52,"00:03:52",15.25862069,"indonesia","Chlorurus capistratoides","TRUE"
"196","Aceh","P Weh","Chlorurus","capistratoides","TP",21,47,3,55,"00:03:55",12,"indonesia","Chlorurus capistratoides","TRUE"
"197","Aceh","P Weh","Chlorurus","capistratoides","TP",20,39,4,3,"00:04:03",9.62962963,"indonesia","Chlorurus capistratoides","TRUE"
"198","Aceh","P Weh","Chlorurus","capistratoides","IP",14,95,3,8,"00:03:08",30.31914894,"indonesia","Chlorurus capistratoides","TRUE"
"199","Aceh","P Weh","Chlorurus","capistratoides","IP",21,55,3,0,"00:03:00",18.33333333,"indonesia","Chlorurus capistratoides","TRUE"
"200","Aceh","P Weh","Chlorurus","capistratoides","TP",22,56,4,50,"00:04:50",11.5862069,"indonesia","Chlorurus capistratoides","TRUE"
"201","Aceh","P Weh","Chlorurus","capistratoides","",21,46,3,1,"00:03:01",15.24861878,"indonesia","Chlorurus capistratoides","TRUE"
"202","Aceh","P Weh","Chlorurus","capistratoides","",17,59,3,12,"00:03:12",18.4375,"indonesia","Chlorurus capistratoides","TRUE"
"203","Aceh","P Weh","Chlorurus","capistratoides","",20,53,3,16,"00:03:16",16.2244898,"indonesia","Chlorurus capistratoides","TRUE"
"204","Aceh","P Weh","Chlorurus","capistratoides","",18,39,3,6,"00:03:06",12.58064516,"indonesia","Chlorurus capistratoides","TRUE"
"205","Aceh","P Weh","Chlorurus","capistratoides","",13,101,3,11,"00:03:11",31.72774869,"indonesia","Chlorurus capistratoides","TRUE"
"206","Aceh","P Weh","Chlorurus","capistratoides","",26,37,3,8,"00:03:08",11.80851064,"indonesia","Chlorurus capistratoides","TRUE"
"207","Aceh","P Weh","Chlorurus","capistratoides","",27,26,3,14,"00:03:14",8.041237113,"indonesia","Chlorurus capistratoides","TRUE"
"208","Aceh","P Weh","Chlorurus","capistratoides","",28,31,3,1,"00:03:01",10.27624309,"indonesia","Chlorurus capistratoides","TRUE"
"209","Aceh","P Weh","Chlorurus","capistratoides","",21,43,3,7,"00:03:07",13.79679144,"indonesia","Chlorurus capistratoides","TRUE"
"210","Aceh","P Weh","Chlorurus","capistratoides","",21,37,3,0,"00:03:00",12.33333333,"indonesia","Chlorurus capistratoides","TRUE"
"211","Aceh","P Weh","Chlorurus","capistratoides","",22,40,3,3,"00:03:03",13.1147541,"indonesia","Chlorurus capistratoides","TRUE"
"212","Aceh","P Weh","Chlorurus","capistratoides","",17,71,3,9,"00:03:09",22.53968254,"indonesia","Chlorurus capistratoides","TRUE"
"213","Aceh","P Aceh","Chlorurus","capistratoides","",19,45,3,2,"00:03:02",14.83516484,"indonesia","Chlorurus capistratoides","TRUE"
"214","Aceh","P Aceh","Chlorurus","capistratoides","",15,80,3,18,"00:03:18",24.24242424,"indonesia","Chlorurus capistratoides","TRUE"
"215","Aceh","P Aceh","Chlorurus","capistratoides","",15,66,3,2,"00:03:02",21.75824176,"indonesia","Chlorurus capistratoides","TRUE"
