Date,Site,Observer,Temperature,Species,Size,Grp_Size,Mixed_Grp,Start_Time,End_Time,Time,minutes ,seconds ,minutes*60,add_to_ seconds ,total_divided_by_60 ,Total_Bites ,Bites_per_minute,Trial_Time,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,24,1,N,10:53:00,10:55:16,0:02:16,2,16,120,136,2.266666667,51,22.5,2.266666667,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,26,1,N,10:56:00,10:57:23,0:01:23,1,23,60,83,1.383333333,73,52.77108434,1.383333333,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,20,1,N,11:52:00,11:55:00,0:03:00,3,0,180,180,3,91,30.33333333,3,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,20,1,N,12:01:00,12:04:00,0:03:00,3,0,180,180,3,107,35.66666667,3,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,20,1,N,12:19:00,12:22:00,0:03:00,3,0,180,180,3,124,41.33333333,3,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,16,1,N,12:59:00,13:01:20,0:02:20,2,20,120,140,2.333333333,112,48,2.333333333,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,20,1,N,13:05:00,13:06:05,0:01:05,1,5,60,65,1.083333333,32,29.53846154,1.083333333,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,17,1,N,13:20:00,13:23:00,0:03:00,3,0,180,180,3,120,40,3,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,22,1,N,13:25:00,13:27:00,0:02:00,2,0,120,120,2,60,30,2,,
29/10/2016,Macs_Reef,Lex,26,Ctenochaetus_striatus,25,1,N,13:28:00,13:31:00,0:03:00,3,0,180,180,3,79,26.33333333,3,,
29/10/2016,Macs_Reef,ECM,26,Ctenochaetus_striatus,17,1,N,10:29:15,10:31:15,0:02:00,2,0,120,120,2,67,33.5,2,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,21,1,N,9:20:00,9:23:00,0:03:00,3,0,180,180,3,115,38.33333333,3,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,18,1,N,9:30:00,9:33:02,0:03:02,3,2,180,182,3.033333333,110,36.26373626,3.033333333,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,20,1,N,9:35:00,9:38:02,0:03:02,3,2,180,182,3.033333333,132,43.51648352,3.033333333,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,17,1,N,9:53:00,9:54:00,0:01:00,1,0,60,60,1,38,38,1,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,18,1,N,10:03:00,10:04:42,0:01:42,1,42,60,102,1.7,57,33.52941176,1.7,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,19,1,N,10:06:00,10:08:56,0:02:56,2,56,120,176,2.933333333,111,37.84090909,2.933333333,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,20,1,N,10:19:00,10:21:58,0:02:58,2,58,120,178,2.966666667,91,30.6741573,2.966666667,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,21,1,N,10:38:00,10:41:36,0:03:36,3,36,180,216,3.6,105,29.16666667,3.6,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,19,1,N,10:51:00,10:54:00,0:03:00,3,0,180,180,3,105,35,3,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,17,1,N,10:58:00,11:00:40,0:02:40,2,40,120,160,2.666666667,64,24,2.666666667,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,23,1,N,11:17:00,11:20:00,0:03:00,3,0,180,180,3,120,40,3,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,18,1,N,12:41:00,12:44:00,0:03:00,3,0,180,180,3,186,62,3,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,15,1,N,13:10:00,13:13:00,0:03:00,3,0,180,180,3,91,30.33333333,3,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,15,1,N,13:20:00,13:22:42,0:02:42,2,42,120,162,2.7,82,30.37037037,2.7,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,18,1,N,13:41:00,13:44:00,0:03:00,3,0,180,180,3,130,43.33333333,3,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,18,1,N,14:16:00,14:19:00,0:03:00,3,0,180,180,3,104,34.66666667,3,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,15,1,N,14:20:00,14:23:00,0:03:00,3,0,180,180,3,200,66.66666667,3,,
29/10/2016,Macs_Reef,Zoe,26,Ctenochaetus_striatus,14,1,N,14:24:00,14:27:00,0:03:00,3,0,180,180,3,139,46.33333333,3,,
29/10/2016,Macs_Reef,Lex,26,Naso_unicornis,22,4,N,10:38:00,10:41:00,0:03:00,3,0,180,180,3,24,8,3,,
